(Carine le Britannia, Carine ne Britannia)
(The Name of the King, Euphemia li Britannia)
(The Name of the King, Nina Einstein)
(The Name of the King, Shirley Fenette)
(The Name of the King, Milly Ashford)
(Second Battle of Kamejima Island, Anya Alstreim)
(Second Battle of Kamejima Island, Marianne vi Britannia)
(Second Battle of Kamejima Island, Schneizel el Britannia)
(Second Battle of Kamejima Island, Zero Requiem)
(Second Battle of Kamejima Island, Suzaku Kururugi)
(Second Battle of Kamejima Island, Sword of Akasha)
(Second Battle of Kamejima Island, Shinkirō)
(Second Battle of Kamejima Island, Tatewaki Katase)
(Second Battle of Kamejima Island, Cornelia li Britannia)
(Second Battle of Kamejima Island, Ragnarok)
(Second Battle of Kamejima Island, Josui Kusakabe)
(Second Battle of Kamejima Island, Lelouch Vi Britannia)
(Second Battle of Kamejima Island, V.V.)
(Second Battle of Kamejima Island, Sutherland)
(Second Battle of Kamejima Island, Charles zi Britannia)
(Second Battle of Kamejima Island, Marianne Vi Britannia)
(Second Battle of Kamejima Island, Nunnally)
(Second Battle of Kamejima Island, Monica Krushevsky)
(Second Battle of Kamejima Island, C.C.)
(Second Battle of Kamejima Island, Zero)
(Second Battle of Kamejima Island, Euphemia Li Britannia)
(Second Battle of Kamejima Island, F.L.E.I.J.A.)
(Second Battle of Kamejima Island, Gilbert G.P. Guilford)
(Second Battle of Kamejima Island, Second Assault on Tokyo Settlement)
(Second Battle of Kamejima Island, Vincent Ward)
(Second Battle of Kamejima Island, Lelouch vi Britannia)
(Second Battle of Kamejima Island, Bismarck Waldstein)
(Second Battle of Kamejima Island, Holy Empire of Britannia)
(Second Battle of Kamejima Island, Kaname Ohgi)
(Second Battle of Kamejima Island, Jeremiah Gottwald)
(Second Battle of Kamejima Island, United Federation of Nations)
(Gaudefroy de Villon, Gaudefroy du Villon)
(Irregulars, Irregular)
(Operation Pacific Ocean Ambush, Operation Pacific Ocean Ambush (episode))
(Euro Britannia, E.U.)
(Euro Britannia, Britannian)
(Euro Britannia, Knights of St. Raphael)
(Euro Britannia, Britannia)
(Euro Britannia, Knights of St. Uriel)
(Euro Britannia, Europia United)
(Euro Britannia, Suzaku Kururugi)
(Euro Britannia, Knights of St. Michael)
(Euro Britannia, Sankt Petersburg)
(Euro Britannia, Augusta Henry Velaines)
(Euro Britannia, Julius Kingsley)
(Euro Britannia, Holy Britannian Empire)
(Euro Britannia, Knights of Euro Britannia)
(Euro Britannia, Knights of St. Gabriel)
(Euro Britannia, Britannian Military)
(Euro Britannia, Shin Hyuga Shing)
(Euro Britannia, Sutherland)
(Village Instructor, Japanese)
(Village Instructor, Isshin Sumeragi)
(Village Instructor, Sakuradite)
(Village Instructor, Code Geass: Shikkoku no Renya)
(Village Instructor, Renya)
(Village Instructor, Japan)
(Sugiyama Kento, Kento Sugiyama)
(Narita, Area 11)
(Narita, Bartley)
(Narita, Holy Britannian Empire)
(Narita, C.C.)
(Narita, Japan Liberation Front)
(Narita, Guren Mk-II)
(Narita, Joseph Fenette)
(Spinzaku, Suzaku Kururugi)
(Vincent Gram, Factsphere Sensor)
(Vincent Gram, Maser Vibration Sword)
(Vincent Gram, Glinda Knights)
(Vincent Gram, Yggdrasil Drive)
(Vincent Gram, Landspinner Propulsion System)
(Vincent Gram, Holy Britannian Empire)
(Vincent Gram, Bradford)
(Vincent Gram, Slash Harken)
(Vincent Gram, Energy Filler)
(Vincent Gram, Cockpit Ejection System)
(Vincent Gram, Vincent)
(Vincent Gram, Orpheus Zevon)
(Vincent Gram, Lancelot Grail)
(Lake Kawaguchi, Area 11)
(Lake Kawaguchi, Japan Liberation Front)
(Lake Kawaguchi, The Black Knights)
(Lake Kawaguchi, Japanese Liberation Front Hotel Incident)
(Lake Kawaguchi, Sakuradite)
(Lake Kawaguchi, Britannian)
(Lake Kawaguchi, Kusakabe)
(Lake Kawaguchi, Holy Britannian Empire)
(Lake Kawaguchi, Cornelia)
(Nunnally Vanished, Suzaku Kururugi)
(Nunnally Vanished, Nunnally vi Britannia)
(Nunnally Vanished, Taizō Kirihara)
(Nunnally Vanished, Lelouch vi Britannia)
(Nunnally Vanished, Invasion of Japan)
(Nunnally Vanished, Black Rebellion)
(Nunnally Vanished, Genbu Kururugi)
(Code Geass: Shikkoku no Renya, Code Geass: Renya of Darkness)
(Raikō, Raikou)
(F.L.E.I.A., F.L.E.I.J.A.)
(The Messenger from Kyoto (episode), Toru Yoshida)
(The Messenger from Kyoto (episode), Villetta)
(The Messenger from Kyoto (episode), Mao)
(The Messenger from Kyoto (episode), Ashford Academy)
(The Messenger from Kyoto (episode), Naoto Kōzuki)
(The Messenger from Kyoto (episode), Kallen Kōzuki)
(The Messenger from Kyoto (episode), Clovis)
(The Messenger from Kyoto (episode), Kallen)
(The Messenger from Kyoto (episode), Cornelia li Britannia)
(The Messenger from Kyoto (episode), Suzaku)
(The Messenger from Kyoto (episode), Yoshitaka Minami)
(The Messenger from Kyoto (episode), Euphemia li Britannia)
(The Messenger from Kyoto (episode), Mt. Fuji)
(The Messenger from Kyoto (episode), Nunnally)
(The Messenger from Kyoto (episode), Guilford)
(The Messenger from Kyoto (episode), Tamaki)
(The Messenger from Kyoto (episode), Andreas Darlton)
(The Messenger from Kyoto (episode), Ohgi)
(The Messenger from Kyoto (episode), Shirley)
(The Messenger from Kyoto (episode), Lloyd)
(The Messenger from Kyoto (episode), Zero)
(The Messenger from Kyoto (episode), Milly)
(The Messenger from Kyoto (episode), Shirley Fenette)
(The Messenger from Kyoto (episode), Suzaku Kururugi)
(The Messenger from Kyoto (episode), Taizō Kirihara)
(The Messenger from Kyoto (episode), Kallen Kozuki)
(The Messenger from Kyoto (episode), Naomi Inoue)
(The Messenger from Kyoto (episode), Kaguya Sumeragi)
(The Messenger from Kyoto (episode), Joseph Fenette)
(The Messenger from Kyoto (episode), Taizo Kirihara)
(The Messenger from Kyoto (episode), Japan Liberation Front)
(The Messenger from Kyoto (episode), Sophie Wood)
(The Messenger from Kyoto (episode), Lelouch)
(The Messenger from Kyoto (episode), Battle of Narita)
(The Messenger from Kyoto (episode), Black Knights)
(The Messenger from Kyoto (episode), Shinichiro Tamaki)
(The Messenger from Kyoto (episode), Jeremiah)
(The Messenger from Kyoto (episode), Nina)
(The Messenger from Kyoto (episode), Kaguya)
(The Messenger from Kyoto (episode), Arthur)
(The Messenger from Kyoto (episode), Knightmares)
(The Messenger from Kyoto (episode), Sayoko)
(The Messenger from Kyoto (episode), Sutherland)
(The Messenger from Kyoto (episode), C.C.)
(The Messenger from Kyoto (episode), Lancelot)
(The Messenger from Kyoto (episode), Cecile)
(The Messenger from Kyoto (episode), Kururugi Shrine)
(The Messenger from Kyoto (episode), Burai)
(The Messenger from Kyoto (episode), Kyoto house)
(The Messenger from Kyoto (episode), Villetta Nu)
(The Messenger from Kyoto (episode), Cornelia)
(The Messenger from Kyoto (episode), Japanese)
(The Messenger from Kyoto (episode), Kyoto House)
(The Messenger from Kyoto (episode), Nunnally vi Britannia)
(The Messenger from Kyoto (episode), Rakshata Chawla)
(The Messenger from Kyoto (episode), Lelouch vi Britannia)
(The Messenger from Kyoto (episode), Kento Sugiyama)
(The Messenger from Kyoto (episode), Kaname Ohgi)
(The Messenger from Kyoto (episode), NAC)
(Narita Mountains, Narita)
(Norio Wakamoto, Charles zi Britannia)
(Bart L. Darlton, Britannian)
(Bart L. Darlton, Andreas Darlton)
(Bart L. Darlton, Alfred G. Darlton)
(Bart L. Darlton, Black Knights)
(Bart L. Darlton, Zero)
(Bart L. Darlton, Area 11)
(Bart L. Darlton, Holy Britannian Empire)
(Bart L. Darlton, Glaston Knights)
(Bart L. Darlton, Edgar N. Darlton)
(Bart L. Darlton, David T. Darlton)
(Bart L. Darlton, CLAMP)
(Bart L. Darlton, Gloucester)
(Bart L. Darlton, Britannian Military)
(Bart L. Darlton, Claudio S. Darlton)
(Bart L. Darlton, Guilford)
(Isshin Sumeragi, Japanese)
(Isshin Sumeragi, Britannia)
(Isshin Sumeragi, Claire li Britannia)
(Isshin Sumeragi, Code Geass: Shikkoku no Renya)
(Isshin Sumeragi, Three Brothers)
(Isshin Sumeragi, Village Instructor)
(Naoto Kōzuki, Mrs. Kōzuki)
(Naoto Kōzuki, Zero)
(Naoto Kōzuki, Kallen Kōzuki)
(Naoto Kōzuki, Japanese)
(Naoto Kōzuki, Japanese Resistance)
(Naoto Kōzuki, Britannian)
(Naoto Kōzuki, Japan)
(Naoto Kōzuki, Black Rebellion)
(Naoto Kōzuki, Kaname Ohgi)
(Klaus Warwick, Claus Warwick)
(The Collapsing Stage, The Collapsing Stage (episode))
(Royal Guard, Royal Guards)
(Three Brothers, Code Geass: Shikkoku no Renya)
(Three Brothers, Claire li Britannia)
(Three Brothers, Isshin Sumeragi)
(Three Brothers, Andreas Weinberg)
(Claire li Britannia, Britannian)
(Claire li Britannia, Isshin Sumeragi)
(Claire li Britannia, Futaba Sumeragi)
(Claire li Britannia, Andreas Weinberg)
(Claire li Britannia, Three Brothers)
(Claire li Britannia, Britannian Imperial Family)
(Claire li Britannia, Sir Dash)
(Claire li Britannia, Shiori)
(Claire li Britannia, Karasu Tengu)
(Claire li Britannia, Misuzu)
(Claire li Britannia, Mesh the Mish)
(Claire li Britannia, Code Geass: Shikkoku no Renya)
(Claire li Britannia, Renya)
(Claire li Britannia, CC)
(Olivia Zevon, Britannian)
(Olivia Zevon, Holy Britannian Empire)
(Olivia Zevon, Knights of the Round)
(Olivia Zevon, Wizard)
(Olivia Zevon, Code Geass: Oz the Reflection)
(Olivia Zevon, Oldrin Zevon)
(Olivia Zevon, Orpheus Zevon)
(Olivia Zevon, Pluton)
(VV, V.V.)
(Oscar Hamel, Oscar Hammel)
(Hadron Cannons, Hadron Cannon)
(The Collapsing Stage (episode), Guren Mk-II)
(The Collapsing Stage (episode), Schneizel el Britannia)
(The Collapsing Stage (episode), Euphemia)
(The Collapsing Stage (episode), Avalon)
(The Collapsing Stage (episode), Suzaku)
(The Collapsing Stage (episode), Bartley Asprius)
(The Collapsing Stage (episode), Ashford Academy)
(The Collapsing Stage (episode), Bart L. Darlton)
(The Collapsing Stage (episode), Guilford)
(The Collapsing Stage (episode), Tamaki)
(The Collapsing Stage (episode), Shirley)
(The Collapsing Stage (episode), Gawain)
(The Collapsing Stage (episode), V.V.)
(The Collapsing Stage (episode), Toru Yoshida)
(The Collapsing Stage (episode), Suzaku Kururugi)
(The Collapsing Stage (episode), United States of Japan)
(The Collapsing Stage (episode), Rivalz)
(The Collapsing Stage (episode), Claudio S. Darlton)
(The Collapsing Stage (episode), Gloucester Cornelia Custom)
(The Collapsing Stage (episode), Sugiyama)
(The Collapsing Stage (episode), Battle of Narita)
(The Collapsing Stage (episode), Shikine Island)
(The Collapsing Stage (episode), Britannian Army)
(The Collapsing Stage (episode), Sayoko Shinozaki)
(The Collapsing Stage (episode), Gloucester)
(The Collapsing Stage (episode), Lelouch)
(The Collapsing Stage (episode), Marianne)
(The Collapsing Stage (episode), Yoshida)
(The Collapsing Stage (episode), Sayoko)
(The Collapsing Stage (episode), Kaguya Sumeragi)
(The Collapsing Stage (episode), Lancelot)
(The Collapsing Stage (episode), Diethard Ried)
(The Collapsing Stage (episode), Cecile)
(The Collapsing Stage (episode), Siegfried)
(The Collapsing Stage (episode), David)
(The Collapsing Stage (episode), Villetta Nu)
(The Collapsing Stage (episode), Charles)
(The Collapsing Stage (episode), Glaston Knights)
(The Collapsing Stage (episode), Jeremiah Gottwald)
(The Collapsing Stage (episode), First Assault on Tokyo Settlement)
(The Collapsing Stage (episode), Jeremiah)
(The Collapsing Stage (episode), Diethard)
(The Collapsing Stage (episode), Knightmare)
(The Collapsing Stage (episode), Thought Elevator)
(The Collapsing Stage (episode), Ganymede)
(The Collapsing Stage (episode), Asahina Shogo)
(The Collapsing Stage (episode), Villetta)
(The Collapsing Stage (episode), Tohdoh)
(The Collapsing Stage (episode), Rakshata)
(The Collapsing Stage (episode), Kallen)
(The Collapsing Stage (episode), Geass)
(The Collapsing Stage (episode), Gekka)
(The Collapsing Stage (episode), Milly)
(The Collapsing Stage (episode), Ohgi)
(The Collapsing Stage (episode), Andreas Darlton)
(The Collapsing Stage (episode), Nunnally)
(The Collapsing Stage (episode), Lloyd)
(The Collapsing Stage (episode), Bartley)
(The Collapsing Stage (episode), Raikō)
(The Collapsing Stage (episode), Odysseus eu Britannia)
(The Collapsing Stage (episode), Area 11)
(The Collapsing Stage (episode), Schneizel)
(The Collapsing Stage (episode), Nunnally vi Britannia)
(The Collapsing Stage (episode), Nagisa Chiba)
(The Collapsing Stage (episode), Gekka Kyoshiro Tohdoh Custom)
(The Collapsing Stage (episode), Rakshata Chawla)
(The Collapsing Stage (episode), Black Knights)
(The Collapsing Stage (episode), Ryoga Senba)
(The Collapsing Stage (episode), Rivalz Cardemonde)
(The Collapsing Stage (episode), Kaguya)
(The Collapsing Stage (episode), Zero)
(The Collapsing Stage (episode), Milly Ashford)
(The Collapsing Stage (episode), Sutherland)
(The Collapsing Stage (episode), Charles zi Britannia)
(The Collapsing Stage (episode), C.C.)
(The Collapsing Stage (episode), Edgar)
(The Collapsing Stage (episode), Alfred)
(The Collapsing Stage (episode), Lloyd Asplund)
(The Collapsing Stage (episode), Burai)
(The Collapsing Stage (episode), Cornelia li Britannia)
(The Collapsing Stage (episode), Student Council)
(The Collapsing Stage (episode), Cornelia)
(The Collapsing Stage (episode), Arthur)
(The Collapsing Stage (episode), Kento Sugiyama)
(The Collapsing Stage (episode), Four Holy Swords)
(The Collapsing Stage (episode), Nina)
(Reira Marukaru, Leila Malcal)
(Odysseus eu Britannia, Clovis la Britannia)
(Odysseus eu Britannia, Schneizel el Britannia)
(Odysseus eu Britannia, Britannian Imperial Family)
(Odysseus eu Britannia, Carine ne Britannia)
(Odysseus eu Britannia, Cornelia li Britannia)
(Odysseus eu Britannia, Chinese Federation)
(Odysseus eu Britannia, Holy Britannian Empire)
(Odysseus eu Britannia, Marrybell mel Britannia)
(Odysseus eu Britannia, Lelouch)
(Odysseus eu Britannia, Guinevere)
(Odysseus eu Britannia, Euphemia li Britannia)
(Odysseus eu Britannia, Carine)
(Odysseus eu Britannia, V.V.)
(Odysseus eu Britannia, Geass)
(Odysseus eu Britannia, Britannian)
(Odysseus eu Britannia, Charles zi Britannia)
(Odysseus eu Britannia, F.L.E.I.J.A.)
(Odysseus eu Britannia, Clovis)
(Odysseus eu Britannia, Tianzi)
(Odysseus eu Britannia, Pendragon)
(Odysseus eu Britannia, Royal Guards)
(Odysseus eu Britannia, Guinevere de Britannia)
(Odysseus eu Britannia, Li Xingke)
(Odysseus eu Britannia, Lelouch vi Britannia)
(Odysseus eu Britannia, Nunnally vi Britannia)
(Odysseus eu Britannia, Emperor of Britannia)
(Ms. Kōzuki, Refrain)
(Ms. Kōzuki, Stephanie Sheh)
(Ms. Kōzuki, United States of Japan)
(Ms. Kōzuki, Japanese)
(Ms. Kōzuki, Kallen Kōzuki)
(Ms. Kōzuki, Britannian)
(Ms. Kōzuki, Mrs. Stadtfeld)
(Ms. Kōzuki, CLAMP)
(Ms. Kōzuki, Naoto Kōzuki)
(Clovisland, Area 11)
(Clovisland, Suzaku)
(Clovisland, Code Geass: Suzaku of the Counterattack)
(Clovisland, Mao)
(Clovisland, Lelouch)
(Clovisland, Milly)
(Clovisland, Clovis la Britannia)
(Clovisland, Sayoko)
(Clovisland, Holy Britannian Empire)
(Mrs. Kozuki, Ms. Kōzuki)
(Office of Secret Intelligence, Clara Lanfranc)
(Office of Secret Intelligence, Rolo Lamperouge)
(Office of Secret Intelligence, Villetta Nu)
(Office of Secret Intelligence, Geass)
(Office of Secret Intelligence, The Black Knights)
(Office of Secret Intelligence, C.C)
(Office of Secret Intelligence, Holy Britannian Empire)
(Office of Secret Intelligence, Ashford Academy)
(Office of Secret Intelligence, Lelouch)
(Office of Secret Intelligence, Charles zi Britannia)
(Guren Mk-II, Guren Type-02)
(List of characters, List of Characters)
(Kari Wahlgren, Marianne vi Britannia)
(Kari Wahlgren, Guinevere su Britannia)
(Kari Wahlgren, Ichijiku Hinata)
(O2, Kyoshiro Tohdoh)
(O2, C.C.)
(O2, Schneizel el Britannia)
(O2, Hong Gu)
(O2, Ichijiku Hinata)
(O2, Suzaku Kururugi)
(O2, Nagisa Chiba)
(O2, Kallen Kozuki)
(O2, Shogo Asahina)
(O2, Sayoko Shinozaki)
(O2, Villetta Nu)
(O2, Rivalz Cardemonde)
(O2, Kanon Maldini)
(O2, Yoshitaka Minami)
(O2, Anya Alstreim)
(O2, Diethard Ried)
(O2, Shinichiro Tamaki)
(O2, V.V.)
(O2, Shirley Fenette)
(O2, Nina Einstein)
(O2, Rolo Lamperouge)
(O2, Gino Weinberg)
(O2, Milly Ashford)
(O2, Charles zi Britannia)
(O2, Nunnally vi Britannia)
(O2, Lloyd Asplund)
(O2, Cecile Croomy)
(O2, Mutsuki Minase)
(O2, Tianzi)
(O2, Zhou Xianglin)
(O2, Li Xingke)
(O2, Alicia Lohmeyer)
(O2, Gilbert G.P. Guilford)
(O2, Code Geass R2)
(O2, Lelouch vi Britannia)
(O2, Kento Sugiyama)
(O2, Ayame Futaba)
(O2, Kaguya Sumeragi)
(O2, Kaname Ohgi)
(O2, Jeremiah Gottwald)
(Minase Mutsuki, Mutsuki Minase)
(Turn 10, When Shen Hu Wins Glory (episode))
(United States of Japan, Clovis)
(United States of Japan, Babel Tower)
(United States of Japan, Japanese Liberation Front Hotel Incident)
(United States of Japan, Japan Liberation Front)
(United States of Japan, Euphemia)
(United States of Japan, Chinese Consulate)
(United States of Japan, Genbu Kururugi)
(United States of Japan, C.C)
(United States of Japan, Suzaku)
(United States of Japan, Battle for Narita)
(United States of Japan, Ashford Academy)
(United States of Japan, Euphemia li Britannia)
(United States of Japan, Ohgi)
(United States of Japan, Knightmare Frames)
(United States of Japan, Skirmish in Shinjuku Ghetto)
(United States of Japan, Invasion of Japan)
(United States of Japan, High Eunuchs)
(United States of Japan, Viceroy's Palace)
(United States of Japan, Special Administrative Zone of Japan)
(United States of Japan, V.V.)
(United States of Japan, Clovis la Britannia)
(United States of Japan, Euphemia Li Britannia)
(United States of Japan, Black Rebellion)
(United States of Japan, Suzaku Kururugi)
(United States of Japan, The Abandoned Mask)
(United States of Japan, Second Assault on Tokyo Settlement)
(United States of Japan, Honorary Britannians)
(United States of Japan, Nunnally vi Britannia)
(United States of Japan, Tokyo Concession)
(United States of Japan, Kaguya Sumeragi)
(United States of Japan, Area)
(United States of Japan, Britannians)
(United States of Japan, Britannia)
(United States of Japan, Britannian)
(United States of Japan, Emperor)
(United States of Japan, United Federation of Nations)
(United States of Japan, Shikine Island)
(United States of Japan, Black Knights)
(United States of Japan, Assault on Tokyo Settlement)
(United States of Japan, Milly Ashford)
(United States of Japan, Chinese Federation)
(United States of Japan, Elevens)
(United States of Japan, Shinjuku Ghetto)
(United States of Japan, Lelouch Lamperouge)
(United States of Japan, Sayoko)
(United States of Japan, Geass)
(United States of Japan, C.C.)
(United States of Japan, Shirley)
(United States of Japan, Yamato Alliance)
(United States of Japan, Sakuradite)
(United States of Japan, Glinda Knights)
(United States of Japan, Calares)
(United States of Japan, Cornelia li Britannia)
(United States of Japan, Holy Britannian Empire)
(United States of Japan, Mao)
(United States of Japan, Cornelia)
(United States of Japan, F.L.E.I.J.A.)
(United States of Japan, Avalon)
(United States of Japan, Tokyo Settlement)
(United States of Japan, Schneizel)
(United States of Japan, Japanese Liberation Front)
(United States of Japan, Schneizel El Britannia)
(United States of Japan, Thought Elevator)
(United States of Japan, Kaname Ohgi)
(United States of Japan, Lelouch)
(Imperial Family, Britannian Imperial Family)
(Island of the Gods, Island of the Gods (episode))
(Alice's, Alice)
(Nunnally vi Britannia, Zero)
(Nunnally vi Britannia, Schneizel el Britannia)
(Nunnally vi Britannia, Ashford Academy)
(Nunnally vi Britannia, Mark Nemo)
(Nunnally vi Britannia, Suzaku Kururugi)
(Nunnally vi Britannia, Britannian Imperial Family)
(Nunnally vi Britannia, Ragnarök)
(Nunnally vi Britannia, Carine ne Britannia)
(Nunnally vi Britannia, Julius Kingsley)
(Nunnally vi Britannia, Sword of Akasha)
(Nunnally vi Britannia, Villetta Nu)
(Nunnally vi Britannia, Rolo Vi Britannia)
(Nunnally vi Britannia, The Ragnarök Connection (episode))
(Nunnally vi Britannia, Damocles)
(Nunnally vi Britannia, Euphemia li Britannia)
(Nunnally vi Britannia, Rebecca Forstadt)
(Nunnally vi Britannia, Code Geass)
(Nunnally vi Britannia, Mao (Nightmare of Nunnally))
(Nunnally vi Britannia, Charles zi Britannia)
(Nunnally vi Britannia, Kaori Nazuka)
(Nunnally vi Britannia, Clovis la Britannia)
(Nunnally vi Britannia, Rolo Lamperouge)
(Nunnally vi Britannia, Pendragon)
(Nunnally vi Britannia, Odysseus eu Britannia)
(Nunnally vi Britannia, Area 11)
(Nunnally vi Britannia, Kallen Stadtfeld)
(Nunnally vi Britannia, Alice)
(Nunnally vi Britannia, Alicia Lohmeyer)
(Nunnally vi Britannia, Kallen Kozuki)
(Nunnally vi Britannia, Shirley Fenette)
(Nunnally vi Britannia, Kaguya Sumeragi)
(Nunnally vi Britannia, Turn 25.01)
(Nunnally vi Britannia, Kyoshiro Tohdoh)
(Nunnally vi Britannia, Marianne vi Britannia)
(Nunnally vi Britannia, Rai)
(Nunnally vi Britannia, Britannian)
(Nunnally vi Britannia, Student Council)
(Nunnally vi Britannia, Marrybell mel Britannia)
(Nunnally vi Britannia, Lelouch)
(Nunnally vi Britannia, Clara Lanfranc)
(Nunnally vi Britannia, Orange Incident)
(Nunnally vi Britannia, Knight)
(Nunnally vi Britannia, V.V.)
(Nunnally vi Britannia, Sutherland)
(Nunnally vi Britannia, Geass)
(Nunnally vi Britannia, C.C.)
(Nunnally vi Britannia, Code Geass: Nightmare of Nunnally)
(Nunnally vi Britannia, Calares)
(Nunnally vi Britannia, Veronica Puccio)
(Nunnally vi Britannia, Cornelia li Britannia)
(Nunnally vi Britannia, Holy Britannian Empire)
(Nunnally vi Britannia, Magical Device Nemo)
(Nunnally vi Britannia, Guinevere de Britannia)
(Nunnally vi Britannia, Nemo)
(Nunnally vi Britannia, Jeremiah Gottwald)
(Nunnally vi Britannia, Lelouch vi Britannia)
(Nunnally vi Britannia, Nightmare of Nunnally)
(Nunnally vi Britannia, Eleven)
(Nunnally vi Britannia, Battle of Mt.Fuji)
(Nunnally vi Britannia, Thought Elevator)
(Letizia Scifoni, Euphemia li Britannia)
(Nobles, Knight of Honor)
(Nobles, Lelouch)
(Nobles, Honorary Britannian)
(Nobles, Emperor)
(Nobles, Knight (Honorary Title))
(Nobles, Geass Cult)
(Kaguya Sumeragi, Britannia)
(Kaguya Sumeragi, Futaba Sumeragi)
(Kaguya Sumeragi, Kallen)
(Kaguya Sumeragi, U.F.N.)
(Kaguya Sumeragi, Genbu Kururugi)
(Kaguya Sumeragi, Chinese Federation)
(Kaguya Sumeragi, Suzaku)
(Kaguya Sumeragi, Kyōto House)
(Kaguya Sumeragi, United Federation of Nations)
(Kaguya Sumeragi, The Black Knights)
(Kaguya Sumeragi, Nunnally)
(Kaguya Sumeragi, Code Geass: Nunnally in Wonderland)
(Kaguya Sumeragi, C.C.)
(Kaguya Sumeragi, The Order of the Black Knights)
(Kaguya Sumeragi, Sayoko)
(Kaguya Sumeragi, Zero)
(Kaguya Sumeragi, Japanese)
(Kaguya Sumeragi, United States of Japan)
(Kaguya Sumeragi, Schneizel)
(Kaguya Sumeragi, Lelouch vi Britannia)
(Kaguya Sumeragi, Suzaku Kururugi)
(Kaguya Sumeragi, Empress Tianzi)
(Knightmare, Knightmare Frame)
(Plan For Independent Japan (episode), Zero)
(Plan For Independent Japan (episode), Babel Tower)
(Plan For Independent Japan (episode), David T. Darlton)
(Plan For Independent Japan (episode), Rakshata)
(Plan For Independent Japan (episode), Euphemia)
(Plan For Independent Japan (episode), Sword of Akasha)
(Plan For Independent Japan (episode), Geass)
(Plan For Independent Japan (episode), Julius Kingsley)
(Plan For Independent Japan (episode), C.C)
(Plan For Independent Japan (episode), Villetta Nu)
(Plan For Independent Japan (episode), Gekka)
(Plan For Independent Japan (episode), Ashford Academy)
(Plan For Independent Japan (episode), Luciano Bradley)
(Plan For Independent Japan (episode), Bart L. Darlton)
(Plan For Independent Japan (episode), Nina Einstein)
(Plan For Independent Japan (episode), Black Rebellion)
(Plan For Independent Japan (episode), Shin Hyuga Shaing)
(Plan For Independent Japan (episode), Gino Weinberg)
(Plan For Independent Japan (episode), Shirley)
(Plan For Independent Japan (episode), Charles zi Britannia)
(Plan For Independent Japan (episode), Charles)
(Plan For Independent Japan (episode), Guren Mk-II)
(Plan For Independent Japan (episode), Monica Krushevsky)
(Plan For Independent Japan (episode), Viceroy)
(Plan For Independent Japan (episode), Milly)
(Plan For Independent Japan (episode), Guilford)
(Plan For Independent Japan (episode), Suzaku Kururugi)
(Plan For Independent Japan (episode), Gilbert G.P. Guilford)
(Plan For Independent Japan (episode), Rolo Lamperouge)
(Plan For Independent Japan (episode), Edgar N. Darlton)
(Plan For Independent Japan (episode), Kallen)
(Plan For Independent Japan (episode), Diethard Ried)
(Plan For Independent Japan (episode), Li Xingke)
(Plan For Independent Japan (episode), Nonette Enneagram)
(Plan For Independent Japan (episode), Rolo)
(Plan For Independent Japan (episode), Claudio S. Darlton)
(Plan For Independent Japan (episode), Orpheus Zevon)
(Plan For Independent Japan (episode), United States of Japan)
(Plan For Independent Japan (episode), Anya Alstreim)
(Plan For Independent Japan (episode), Marianne vi Britannia)
(Plan For Independent Japan (episode), Rakshata Chawla)
(Plan For Independent Japan (episode), Kallen Kōzuki)
(Plan For Independent Japan (episode), Britannian)
(Plan For Independent Japan (episode), Black Knights)
(Plan For Independent Japan (episode), Kamine Island)
(Plan For Independent Japan (episode), Milly Ashford)
(Plan For Independent Japan (episode), Lancelot)
(Plan For Independent Japan (episode), Sayoko Shinozaki)
(Plan For Independent Japan (episode), Rivalz Cardemonde)
(Plan For Independent Japan (episode), Lelouch)
(Plan For Independent Japan (episode), Chinese Federation)
(Plan For Independent Japan (episode), Rivalz)
(Plan For Independent Japan (episode), Knights of the Round)
(Plan For Independent Japan (episode), Kosetsu Urabe)
(Plan For Independent Japan (episode), Knight)
(Plan For Independent Japan (episode), Gao Hai)
(Plan For Independent Japan (episode), Sutherland)
(Plan For Independent Japan (episode), Alfred G. Darlton)
(Plan For Independent Japan (episode), C.C.)
(Plan For Independent Japan (episode), Shirley Fenette)
(Plan For Independent Japan (episode), Battle of Babel Tower)
(Plan For Independent Japan (episode), Villetta)
(Plan For Independent Japan (episode), Calares)
(Plan For Independent Japan (episode), Kaguya Sumeragi)
(Plan For Independent Japan (episode), Diethard)
(Plan For Independent Japan (episode), Cornelia li Britannia)
(Plan For Independent Japan (episode), Suzaku)
(Plan For Independent Japan (episode), Burai)
(Plan For Independent Japan (episode), Xingke)
(Plan For Independent Japan (episode), Nunnally vi Britannia)
(Plan For Independent Japan (episode), Schneizel el Britannia)
(Plan For Independent Japan (episode), Knightmare Frame)
(Plan For Independent Japan (episode), Lelouch vi Britannia)
(Plan For Independent Japan (episode), Bismarck Waldstein)
(Plan For Independent Japan (episode), Vincent)
(Plan For Independent Japan (episode), Urabe)
(Plan For Independent Japan (episode), Thought Elevator)
(Panzer-Hummel (Akito the Exiled), Panzer Hummel)
(Alwin I, Holy Britannian Empire)
(Alwin I, Imperial Calendar)
(Maria Shaing, The Wyvern Divided (episode))
(Maria Shaing, Leila Malcal)
(Maria Shaing, CLAMP)
(Maria Shaing, Shin Hyuga Shaing)
(Maria Shaing, Holy Britannian Empire)
(Maria Shaing, Alice Shaing)
(Maria Shaing, Code Geass: Akito the Exiled)
