(Carine le Britannia, Carine ne Britannia)
(Yukimaro Sawazaki, Code Geass: Oz the Reflection)
(Yukimaro Sawazaki, Atsushi Sawazaki)
(Yukimaro Sawazaki, Japan)
(Yukimaro Sawazaki, Orpheus Zevon)
(Artbooks, Ashford)
(Artbooks, Code Geass x CLAMP: Mutuality)
(Artbooks, Code Geass)
(Artbooks, Code Geass: Lelouch of the Rebellion)
(Artbooks, Zero)
(Artbooks, Code Geass – Lelouch of the Rebellion Illustrations Rebels)
(Caerleon-class Floating Battleship, Holy Britannian Empire)
(Caerleon-class Floating Battleship, Glinda Knights)
(Caerleon-class Floating Battleship, Knightmare Frame)
(Caerleon-class Floating Battleship, Operation Pacific Ocean Ambush (episode))
(Caerleon-class Floating Battleship, Blaze Luminous)
(Caerleon-class Floating Battleship, Britannian Air Force)
(Battle of Narva, Leila Malcal)
(Battle of Narva, Claus Warwick)
(Battle of Narva, Europia United)
(Battle of Narva, Euro Britannia)
(Battle of Narva, Andrea Farnese)
(Battle of Narva, Code Geass: Akito the Exiled)
(Battle of Narva, G-1 Base)
(Battle of Narva, Sutherland)
(Battle of Narva, Gloucester)
(Battle of Narva, W-0)
(Battle of Narva, Alexander)
(Battle of Narva, Holy Britannian Empire)
(Battle of Narva, Akito Hyuga)
(Battle of Narva, Sankt Petersburg)
(Emperor Lelouch, Emperor Lelouch (episode))
(VARIS Particle Rifle, VARIS Rifle)
(Tamaki, Shinichirō Tamaki)
(Cornelia Li Britannia, Cornelia li Britannia)
(CG:NO, Code Geass:No page)
(Turn 06, Operation Pacific Ocean Ambush (episode))
(Royal Guards, C.C.)
(Royal Guards, Pendragon Imperial Palace)
(Royal Guards, Monica Krushevsky)
(Royal Guards, Counterattack at the Gallows)
(Royal Guards, Clovis la Britannia)
(Royal Guards, Shinjuku Ghetto)
(Royal Guards, Knights of the Round Uprising)
(Royal Guards, Area 11)
(Royal Guards, Knights of the Round)
(Royal Guards, Lelouch)
(Royal Guards, Second Battle of Kamejima Island)
(Royal Guards, Geass)
(Ashford, Ashford Academy)
(Ashford Academy's Student Council, Student Council)
(Code Geass: Shortcut, Code Geass:Redirecting)
(The Messenger From Kyoto, The Messenger from Kyoto (episode))
(Masquerade, Code Geass: Lelouch of the Rebellion)
(Masquerade, Geass vs. Geass (episode))
(Terrorism, Britannian)
(Terrorism, Britannian Military)
(Terrorism, Code Geass)
(Terrorism, The Black Knights)
(Terrorism, Viceroy of Area 11)
(Terrorism, Zero)
(Terrorism, Clovis)
(Terrorism, Lelouch)
(Terrorism, Refrain)
(Stage 22.25, Marianne vi Britannia)
(Stage 22.25, Special Administrative Zone of Japan)
(Stage 22.25, Code Geass: Lelouch of the Rebellion)
(Stage 22.25, Bloodstained Euphie (episode))
(Stage 22.25, Zero)
(Stage 22.25, Cornelia)
(Stage 22.25, Britannian Imperial Family)
(Stage 22.25, Euphemia)
(Stage 22.25, Lelouch)
(Stage 22.25, Special Administrative Zone Massacre)
(Stage 22.25, Nunnally)
(Stage 22.25, Sayoko)
(Lelouche, Lelouch vi Britannia)
(I Order you, Suzaku Kururugi (episode), Guren Mk-II)
(I Order you, Suzaku Kururugi (episode), Schneizel el Britannia)
(I Order you, Suzaku Kururugi (episode), Tohdoh)
(I Order you, Suzaku Kururugi (episode), Rakshata)
(I Order you, Suzaku Kururugi (episode), Euphemia)
(I Order you, Suzaku Kururugi (episode), Kallen)
(I Order you, Suzaku Kururugi (episode), Knight)
(I Order you, Suzaku Kururugi (episode), Genbu Kururugi)
(I Order you, Suzaku Kururugi (episode), Knightmares)
(I Order you, Suzaku Kururugi (episode), Shogo Asahina)
(I Order you, Suzaku Kururugi (episode), Suzaku)
(I Order you, Suzaku Kururugi (episode), Gekka)
(I Order you, Suzaku Kururugi (episode), Yoshitaka Minami)
(I Order you, Suzaku Kururugi (episode), Asahina)
(I Order you, Suzaku Kururugi (episode), Euphemia li Britannia)
(I Order you, Suzaku Kururugi (episode), Nunnally)
(I Order you, Suzaku Kururugi (episode), Diethard Reid)
(I Order you, Suzaku Kururugi (episode), Sophie Wood)
(I Order you, Suzaku Kururugi (episode), Tamaki)
(I Order you, Suzaku Kururugi (episode), Milly Ashford)
(I Order you, Suzaku Kururugi (episode), Andreas Darlton)
(I Order you, Suzaku Kururugi (episode), Ohgi)
(I Order you, Suzaku Kururugi (episode), Shirley)
(I Order you, Suzaku Kururugi (episode), Lloyd)
(I Order you, Suzaku Kururugi (episode), Gawain)
(I Order you, Suzaku Kururugi (episode), Geass)
(I Order you, Suzaku Kururugi (episode), Toru Yoshida)
(I Order you, Suzaku Kururugi (episode), Milly)
(I Order you, Suzaku Kururugi (episode), Thought Elevator)
(I Order you, Suzaku Kururugi (episode), Shirley Fenette)
(I Order you, Suzaku Kururugi (episode), Suzaku Kururugi)
(I Order you, Suzaku Kururugi (episode), Chiba)
(I Order you, Suzaku Kururugi (episode), Kallen Kozuki)
(I Order you, Suzaku Kururugi (episode), Avalon)
(I Order you, Suzaku Kururugi (episode), Naomi Inoue)
(I Order you, Suzaku Kururugi (episode), Gefjun Disturber)
(I Order you, Suzaku Kururugi (episode), Shikine Island)
(I Order you, Suzaku Kururugi (episode), Gekka Kyoshiro Tohdoh Custom)
(I Order you, Suzaku Kururugi (episode), Portman)
(I Order you, Suzaku Kururugi (episode), Britannia)
(I Order you, Suzaku Kururugi (episode), Europia United)
(I Order you, Suzaku Kururugi (episode), Black Knights)
(I Order you, Suzaku Kururugi (episode), Student Council)
