removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Taylor Swift,395,1118,2.830379746835443,2.830379746835443,0,4.388256762559038,137
List of songs by Taylor Swift,394,1027,2.6065989847715736,2.6065989847715736,0,4.388256762559038,137
Lyrics,393,964,2.4529262086513994,2.4529262086513994,0,4.388256762559038,137
Discography,392,903,2.3035714285714284,2.3035714285714284,0,4.388256762559038,137
Speak Now,391,844,2.1585677749360612,2.1585677749360612,0,5.665273740310077,129
Red,390,800,2.051282051282051,2.051282051282051,0,4.718073188946975,104
Taylor Swift (album),389,757,1.9460154241645244,1.9460154241645244,0,4.714472309299896,88
You Belong with Me,388,716,1.8453608247422681,1.8453608247422681,0,5.24411933448078,84
