removed,numNodes,numEdges,averageInDegree,averageOutDegree,selfLinks,averagePathLength,sizeLargest
Season 2,76,400,5.2631578947368425,5.2631578947368425,0,2.622994652406417,34
Season 1,75,356,4.746666666666667,4.746666666666667,0,2.622994652406417,34
Drew Holt,74,318,4.297297297297297,4.297297297297297,0,1.6973684210526316,20
The Deep End of the Pool,73,284,3.8904109589041096,3.8904109589041096,0,1.6973684210526316,20
Pilot,72,251,3.486111111111111,3.486111111111111,0,1.6973684210526316,20
Crosby Braverman,71,220,3.0985915492957745,3.0985915492957745,0,1.760233918128655,19
Jabbar Trussell-Braverman,70,191,2.7285714285714286,2.7285714285714286,0,1.934640522875817,18
Amber Holt,69,166,2.4057971014492754,2.4057971014492754,0,1.938095238095238,15
