(Package First Aid, Apple Inc.)
(Package First Aid, Classic Mac OS)
(Package First Aid, Mac OS X)
(Package First Aid, Mac OS 9)
(Happy Mac icon, Sad Mac icon)
(Happy Mac icon, Mac OS)
(Happy Mac icon, Macintosh)
(Happy Mac icon, Mac OS X)
(System Update 3.0, Utility)
(System Update 3.0, About This Macintosh)
(System Update 3.0, TeachText)
(System Update 3.0, Control panel)
(System Update 3.0, System 7.1)
(System Update 3.0, PowerBook)
(System Update 3.0, System Folder)
(System Update 3.0, Memory control panel)
(System Update 3.0, Screen control panel)
(System Update 3.0, SimpleText)
(System Update 3.0, Macintosh)
(System Update 3.0, Finder)
(System Update 3.0, System 7.5)
(App:Angry Birds Star Wars, Mac OS X)
(System requirements for installing Mac OS X, Apple Inc.)
(System requirements for installing Mac OS X, PowerPC G5)
(System requirements for installing Mac OS X, Mac OS 9)
(System requirements for installing Mac OS X, .Mac)
(System requirements for installing Mac OS X, Macintosh)
(System requirements for installing Mac OS X, QuickTime)
(System requirements for installing Mac OS X, FireWire)
(System requirements for installing Mac OS X, Power Macintosh G4)
(System requirements for installing Mac OS X, Power Macintosh G3)
(System requirements for installing Mac OS X, PowerBook G3)
(System requirements for installing Mac OS X, Mac OS 9.0.4)
(System requirements for installing Mac OS X, Mac OS 9.1)
(System requirements for installing Mac OS X, Mac OS X)
(System requirements for installing Mac OS X, Classic environment)
(System requirements for installing Mac OS X, PowerBook G4)
(Banana, IMac)
(System 7.0.1, PowerBook)
(System 7.0.1, System 7.0)
(System 7.0.1, Macintosh Portable)
(System 7.0.1, System 7)
(System 7.0.1, Caps Lock extension)
(System 7.0.1, Brightness control panel)
(System 7.0.1, RAM disk)
(System 7.0.1, Macintosh)
(10.0.4, Mac OS X 10.0.4)
(Mac OS, Macintosh OS)
(Application programme, Application)
(Internet, Safari)
(30-pin Dock Connector, IPhone (original))
(30-pin Dock Connector, Lightning (connector))
(30-pin Dock Connector, IPod touch)
(10.0.1, Mac OS X 10.0.1)
(Apple Watch Series 1, Apple Watch Hermes)
(Apple Watch Series 1, Apple)
(Apple Watch Series 1, Apple Watch)
(Apple Watch Series 1, Apple Watch Edition)
(Apple Watch Series 1, Apple Watch Sport)
(Apple Watch Series 1, WatchOS)
(Apple Watch Series 1, Apple Watch Bands)
(September 30, Mac OS X 10.4.8)
(LaserWriter, Apple Inc.)
(LaserWriter, AppleTalk)
(LaserWriter, Macintosh)
(LaserWriter, GUI)
(New World ROM, Old World ROM)
(New World ROM, Mac OS)
(New World ROM, Open Firmware)
(New World ROM, Macintosh)
(New World ROM, Mac OS X)
(New World ROM, Macintosh Toolbox)
(Notification Center, OS X)
(System 7 Tune-Up 1.0, System 7.0)
(System 7 Tune-Up 1.0, System 7.0.1)
(Beijing Macintosh User Group, Beijing Macintosh Union)
(Beijing Macintosh User Group, USA)
(Beijing Macintosh User Group, 2004)
(Beijing Macintosh User Group, 2005)
(Beijing Macintosh User Group, 2002)
(Beijing Macintosh User Group, Macintosh user group)
(Beijing Macintosh User Group, Beijing)
(Beijing Macintosh User Group, Australia)
(Huh?, Mac OS)
(Huh?, System 7.5)
(Huh?, Apple Guide)
(Macintosh IIci, Macintosh IIfx)
(Macintosh IIci, Macintosh IIcx)
(Macintosh IIci, Central processing unit)
(Angry Birds, App:Angry Birds)
(AppZapper, .app)
(Server Admin, Mac OS X Server)
(Server Admin, Mac OS X 10.3)
(At Ease, Apple Inc.)
(At Ease, Macintosh Performa)
(At Ease, Mac OS X)
(At Ease, Mac OS 9)
(Shanghai, People's Republic of China)
(Shanghai, Macintosh user group)
(Shanghai, Beijing)
(System 7 Tune-Up 1.1, Chooser)
(System 7 Tune-Up 1.1, StyleWriter)
(System 7 Tune-Up 1.1, System 7.0.1)
(System 7 Tune-Up 1.1, System 7)
(System 7 Tune-Up 1.1, LaserWriter)
(System 7 Tune-Up 1.1, System 7 Tune-Up 1.0)
(Mac OS X 10.2.8 (6R73), Mac OS X 10.2.8 Build 6R73)
(Macintosh system software, System Folder)
(Macintosh system software, System 7.5)
(Macintosh system software, Font)
(Macintosh system software, System 1)
(Macintosh system software, Macintosh)
(Macintosh system software, Mac OS)
(Macintosh system software, Control panel)
(Macintosh system software, System file)
(Macintosh system software, Mac OS 8)
(Macintosh system software, Mac OS 7.5.1)
(Favourites folder, Favorites folder)
(Apple Certified Help Desk Specialist, Tiger)
(Apple Certified Help Desk Specialist, Mac OS X)
(Apple Certified Help Desk Specialist, 10.4)
(Preferences folder, Library folder)
(Preferences folder, System Folder)
(Preferences folder, Mac OS X)
(Preferences folder, Home folder)
(Address Book, Contacts)
(Movies folder, Apple Inc.)
(Movies folder, Mac OS X)
(Movies folder, Home folder)
(Movies folder, Media Browser)
(Movies folder, Image Capture)
(IBook, 1999)
(IBook, Apple Inc.)
(IBook, January 5)
(IBook, PowerPC)
(IBook, Ethernet)
(IBook, 2004)
(IBook, Macintosh)
