(Lance Sweets/List of Appearances, The Lance to the Heart)
(8AKY18, The Party in the Pants)
(Jackie Swanson, Dave Swanson)
(Jackie Swanson, Brianna Swanson)
(The Hero in the Hold, Janet Lin)
(The Hero in the Hold, Thomas Vega)
(The Hero in the Hold, Tamara Taylor)
(The Hero in the Hold, Camille Saroyan)
(The Hero in the Hold, David Boreanaz)
(The Hero in the Hold, Noel Fisher)
(The Hero in the Hold, Edward Parker)
(The Hero in the Hold, Ian Toynton)
(The Hero in the Hold, Heather Taffet)
(The Hero in the Hold, Temperance Brennan)
(The Hero in the Hold, John Francis Daley)
(The Hero in the Hold, Payton Perotta)
(The Hero in the Hold, Lance Sweets)
(The Hero in the Hold, Jared Booth)
(The Hero in the Hold, Judge Williams)
(The Hero in the Hold, Seeley Booth)
(The Hero in the Hold, Bones (TV series))
(The Hero in the Hold, Jack Hodgins)
(The Hero in the Hold, I don't know what that means)
(The Hero in the Hold, T.J Thyne)
(The Hero in the Hold, Emily Deschanel)
(The Hero in the Hold, Fire in the Ice)
(The Hero in the Hold, Season 4)
(The Hero in the Hold, Angela Montenegro)
(The Hero in the Hold, Michaela Conlin)
(The Hero in the Hold, Karine Rosenthal)
(The Hero in the Hold, The Princess and the Pear)
(David Sutton, Kelly Sutton)
(2x20, The Glowing Bones in the Old Stone House)
(The Killer in the Crosshairs, Tamara Taylor)
(The Killer in the Crosshairs, Camille Saroyan)
(The Killer in the Crosshairs, The Bikini in the Soup)
(The Killer in the Crosshairs, Billy Gibbons)
(The Killer in the Crosshairs, The Gravedigger)
(The Killer in the Crosshairs, Jacob Broadsky)
(The Killer in the Crosshairs, Caroline Julian)
(The Killer in the Crosshairs, Temperance Brennan)
(The Killer in the Crosshairs, John Francis Daley)
(The Killer in the Crosshairs, Paula Ashwaldt)
(The Killer in the Crosshairs, Michaela Conlin)
(The Killer in the Crosshairs, Milan Cheylov)
(The Killer in the Crosshairs, Lance Sweets)
(The Killer in the Crosshairs, Vincent Nigel-Murray)
(The Killer in the Crosshairs, Benny Winkler)
(The Killer in the Crosshairs, Patricia Belcher)
(The Killer in the Crosshairs, Ryan Cartwright)
(The Killer in the Crosshairs, The Blackout in the Blizzard)
(The Killer in the Crosshairs, T.J Thyne)
(The Killer in the Crosshairs, Seeley Booth)
(The Killer in the Crosshairs, Bones (TV series))
(The Killer in the Crosshairs, Jack Hodgins)
(The Killer in the Crosshairs, I don't know what that means)
(The Killer in the Crosshairs, Emily Deschanel)
(The Killer in the Crosshairs, David Boreanaz)
(The Killer in the Crosshairs, Angela Montenegro)
(The Killer in the Crosshairs, Raul Ortiz)
(The Killer in the Crosshairs, Michael Peterson)
(The Killer in the Crosshairs, Season 6)
(Alyssa Howland, The Salt in the Wounds)
(The Conspiracy in the Corpse, Eugene Byrd)
(The Conspiracy in the Corpse, Camille Saroyan)
(The Conspiracy in the Corpse, The Lance to the Heart)
(The Conspiracy in the Corpse, The Recluse in the Recliner)
(The Conspiracy in the Corpse, Christine Booth)
(The Conspiracy in the Corpse, The Secret in the Soil)
(The Conspiracy in the Corpse, Glen Durant)
(The Conspiracy in the Corpse, Carla Gallo)
(The Conspiracy in the Corpse, Caroline Julian)
(The Conspiracy in the Corpse, Temperance Brennan)
(The Conspiracy in the Corpse, John Francis Daley)
(The Conspiracy in the Corpse, Lance Sweets)
(The Conspiracy in the Corpse, Tamara Taylor)
(The Conspiracy in the Corpse, Clark Edison)
(The Conspiracy in the Corpse, Daisy Wick)
(The Conspiracy in the Corpse, Patricia Belcher)
(The Conspiracy in the Corpse, T.J Thyne)
(The Conspiracy in the Corpse, Sunnie Pelant)
(The Conspiracy in the Corpse, Seeley Booth)
(The Conspiracy in the Corpse, Bones (TV series))
(The Conspiracy in the Corpse, Jack Hodgins)
(The Conspiracy in the Corpse, John Boyd)
(The Conspiracy in the Corpse, Emily Deschanel)
(The Conspiracy in the Corpse, James Aubrey)
(The Conspiracy in the Corpse, David Boreanaz)
(The Conspiracy in the Corpse, Deputy Director Victor Stark)
(The Conspiracy in the Corpse, Angela Montenegro)
(The Conspiracy in the Corpse, Michaela Conlin)
(The Conspiracy in the Corpse, Season 10)
(6AKY23, The Change in the Game)
(The Senator in the Street Sweeper, The Resurrection in the Remains)
(The Senator in the Street Sweeper, Tamara Taylor)
(The Senator in the Street Sweeper, Camille Saroyan)
(The Senator in the Street Sweeper, Patricia Belcher)
(The Senator in the Street Sweeper, T.J Thyne)
(The Senator in the Street Sweeper, Temperance Brennan)
(The Senator in the Street Sweeper, Seeley Booth)
(The Senator in the Street Sweeper, Bones (TV series))
(The Senator in the Street Sweeper, Caroline Julian)
(The Senator in the Street Sweeper, Jack Hodgins)
(The Senator in the Street Sweeper, John Boyd)
(The Senator in the Street Sweeper, Emily Deschanel)
(The Senator in the Street Sweeper, James Aubrey)
