(Kishua Zelretch Schweinorg, Kischur Zelretch Schweinorg)
(Golem, Fate/Apocrypha)
(Golem, Berserker)
(Golem, Golem Keter Malkuth)
(Melty Blood, Kouma Kishima)
(Melty Blood, Miyako Arima)
(Melty Blood, Kohaku)
(Melty Blood, Archetype: Earth)
(Melty Blood, Satsuki Yumizuka)
(Melty Blood, Shiki Tohno)
(Melty Blood, Ciel)
(Melty Blood, White Len)
(Melty Blood, Night of Wallachia)
(Melty Blood, TYPE-MOON)
(Melty Blood, Len)
(Melty Blood, Aoko Aozaki)
(Melty Blood, Nrvnqsr Chaos)
(Melty Blood, Riesbyfe Stridberg)
(Melty Blood, Tsukihime)
(Melty Blood, Hisui)
(Melty Blood, Akiha Tohno)
(Melty Blood, Arcueid Brunestud)
(Melty Blood, Neco-Arc)
(Melty Blood, Dust of Osiris)
(Melty Blood, Mech-Hisui)
(Melty Blood, Neco-Arc Chaos)
(Melty Blood, Michael Roa Valdamjong)
(Melty Blood, Sion Eltnam Atlasia)
(Melty Blood, Shiki Ryougi)
(Melty Blood, Akiha)
(Elesia, Ciel)
(Mjölnir, Beatrice Flowerchild)
(Mjölnir, Magical Energy)
(Mjölnir, Berserker (Fate/kaleid liner PRISMA☆ILLYA - Unknown))
(Mjölnir, Thor)
(Berserker (Fate/Grand Order - Darius III), Chibichuki!)
(Berserker (Fate/Grand Order - Darius III), Waver Velvet)
(Berserker (Fate/Grand Order - Darius III), Rider (Fate/stay night))
(Berserker (Fate/Grand Order - Darius III), Shimokoshi)
(Berserker (Fate/Grand Order - Darius III), Mad Enhancement)
(Berserker (Fate/Grand Order - Darius III), Protagonist)
(Berserker (Fate/Grand Order - Darius III), Hirokazu Koyama)
(Berserker (Fate/Grand Order - Darius III), Rider (Fate/Zero))
(Berserker (Fate/Grand Order - Darius III), Berserker (Fate/Zero))
(Berserker (Fate/Grand Order - Darius III), Parameter Rules)
(Berserker (Fate/Grand Order - Darius III), True Name)
(Berserker (Fate/Grand Order - Darius III), Takeuchi Takashi)
(Berserker (Fate/Grand Order - Darius III), Athanaton Ten Thousand)
(Berserker (Fate/Grand Order - Darius III), Berserker)
(Berserker (Fate/Grand Order - Darius III), Saber (Fate/stay night))
(Berserker (Fate/Grand Order - Darius III), Golden Rule)
(Berserker (Fate/Grand Order - Darius III), PFALZ)
(Berserker (Fate/Grand Order - Darius III), Mineji Sakamoto)
(Berserker (Fate/Grand Order - Darius III), Grand Order)
(Berserker (Fate/Grand Order - Darius III), Keikenchi)
(Berserker (Fate/Grand Order - Darius III), Riyo)
(Berserker (Fate/Grand Order - Darius III), Hikaru Sakurai)
(Berserker (Fate/Grand Order - Darius III), Gilgamesh)
(Berserker (Fate/Grand Order - Darius III), Disengage)
(Berserker (Fate/Grand Order - Darius III), Servant)
(Berserker (Fate/Grand Order - Darius III), Fate/Zero)
(Berserker (Fate/Grand Order - Darius III), Fate/Grand Order)
(Berserker (Fate/Grand Order - Darius III), Holy Grail)
